Date,Close,Open,High,Low,Vol.,Change %
"Apr 09, 2014",222.42,222.4,222.43,222.4,-,0.01%
"Apr 10, 2014",222.64,222.64,222.64,222.64,-,0.10%
"Apr 11, 2014",222.92,222.64,222.92,222.64,-,0.13%
"Apr 14, 2014",222.4,222.4,222.4,222.4,-,-0.23%
"Apr 15, 2014",211.55,211.55,211.55,211.55,-,-4.88%
"Apr 16, 2014",202.88,203.08,203.08,202.88,-,-4.10%
"Apr 17, 2014",209.83,203.07,209.83,203.07,-,3.43%
"Apr 22, 2014",208.15,209.83,209.83,208.15,-,-0.80%
"Apr 23, 2014",208.22,208.14,208.22,206.81,-,0.03%
"Apr 24, 2014",206.82,206.86,207.22,206.82,-,-0.67%
"Apr 25, 2014",207.98,206.94,207.98,206.94,-,0.56%
"Apr 28, 2014",207.98,207.98,207.98,207.98,-,0.00%
"Apr 29, 2014",207.74,208.58,208.58,207.74,-,-0.12%
"Apr 30, 2014",207.76,207.74,207.81,207.74,-,0.01%
"May 02, 2014",207.76,207.76,207.76,207.76,-,0.00%
"May 05, 2014",207.57,207.76,207.76,206.98,-,-0.09%
"May 06, 2014",207.85,207.69,207.85,207.57,-,0.13%
"May 07, 2014",209.83,207.85,209.83,207.85,-,0.95%
"May 09, 2014",210.21,210.21,210.21,210.21,-,0.18%
"May 12, 2014",211.2,207.85,211.2,207.51,-,0.47%
"May 13, 2014",212.34,211.73,212.34,208.93,-,0.54%
"May 14, 2014",209.53,209.43,209.53,209.43,-,-1.32%
"May 15, 2014",209.53,209.53,209.53,209.53,-,0.00%
"May 16, 2014",209.53,209.53,209.53,209.53,-,0.00%
"May 19, 2014",204.86,205.28,205.28,204.86,-,-2.23%
"May 20, 2014",205.91,205.91,205.91,205.91,-,0.51%
"May 21, 2014",205.91,205.91,205.91,205.91,-,0.00%
"May 22, 2014",206.28,206.28,206.28,206.28,-,0.18%
"May 23, 2014",204.86,204.86,204.86,204.86,-,-0.69%
"May 26, 2014",205.26,205.25,205.26,205.25,-,0.20%
"May 27, 2014",205.18,205.18,205.18,205.18,-,-0.04%
"May 28, 2014",205.18,205.18,205.18,205.18,-,0.00%
"May 29, 2014",207.97,207.97,207.97,207.97,-,1.36%
"May 30, 2014",207.97,207.97,207.97,207.97,-,0.00%
"Jun 02, 2014",207.95,207.95,207.95,207.95,-,-0.01%
"Jun 03, 2014",208.16,207.69,209.23,207.69,-,0.10%
