Date,Close,Open,High,Low,Vol.,Change %
"Dec 22, 2014",956.97,944.82,957.2,944.73,-,1.31%
"Dec 19, 2014",944.56,953.13,957.33,944.4,-,-0.70%
"Dec 18, 2014",951.19,940.62,958.28,940.61,-,1.12%
"Dec 17, 2014",940.62,944.83,947.28,933.06,-,-0.45%
"Dec 16, 2014",944.83,961.31,961.39,939.44,-,-1.72%
"Dec 15, 2014",961.38,970.97,970.97,959.81,-,-0.99%
"Dec 12, 2014",970.97,982.92,986.26,970.97,-,-1.32%
"Dec 11, 2014",983.91,994.75,994.75,983.43,-,-1.09%
"Dec 10, 2014",994.75,991.28,997.38,991.28,-,0.26%
"Dec 09, 2014",992.21,1006.66,1006.66,990.86,-,-1.58%
"Dec 08, 2014",1008.1,1006.37,1009.98,1003.91,-,0.18%
"Dec 05, 2014",1006.25,1002.16,1009.8,1002.16,-,0.49%
"Dec 04, 2014",1001.39,1019.67,1021.17,1001.39,-,-1.80%
"Dec 03, 2014",1019.75,1008.63,1019.75,1008.63,-,1.18%
"Dec 02, 2014",1007.83,1007.04,1009.76,1000.49,-,0.06%
"Dec 01, 2014",1007.24,1004.61,1008.46,996.83,-,0.01%
"Nov 28, 2014",1007.17,1002.02,1007.49,997.53,-,0.50%
"Nov 27, 2014",1002.2,995.23,1004,992.52,-,0.68%
"Nov 26, 2014",995.41,988.09,995.41,983.95,-,0.74%
"Nov 25, 2014",988.09,981.31,990.58,979.32,-,0.69%
"Nov 24, 2014",981.31,980.19,985.64,979.59,-,0.11%
"Nov 21, 2014",980.19,970.67,981.28,969.79,-,0.92%
"Nov 20, 2014",971.24,981.42,981.42,966.19,-,-1.04%
"Nov 19, 2014",981.47,973.22,981.47,972.01,-,0.85%
"Nov 18, 2014",973.24,964.48,975.42,961.9,-,1.30%
"Nov 14, 2014",960.72,959.41,961.22,951.53,-,0.19%
"Nov 13, 2014",958.86,964.98,964.98,956.17,-,-0.64%
"Nov 12, 2014",965.05,974.58,977.15,963.37,-,-0.98%
"Nov 11, 2014",974.58,976.06,983.64,974.29,-,-0.15%
"Nov 10, 2014",976.06,969.3,976.59,967.32,-,0.70%
"Nov 07, 2014",969.3,962.98,972.1,962.98,-,0.64%
"Nov 06, 2014",963.17,963.23,968.15,959.77,-,0.01%
"Nov 05, 2014",963.1,973.22,974.77,962.2,-,-1.02%
"Nov 04, 2014",973.03,975.43,981.58,971.12,-,-0.18%
"Nov 03, 2014",974.79,981.71,982.36,972.45,-,-0.68%
"Oct 31, 2014",981.43,964.88,982.52,960.38,-,1.72%
"Oct 30, 2014",964.88,957.08,966.96,955.25,-,0.81%
"Oct 29, 2014",957.08,964.88,972.27,956.09,-,-0.81%
"Oct 27, 2014",964.88,950.11,978.38,947.02,-,1.55%
"Oct 24, 2014",950.17,946.52,954.07,946.52,-,0.39%
"Oct 23, 2014",946.52,941.93,950.04,939.66,-,0.49%
"Oct 22, 2014",941.93,939.28,943.89,933.64,-,0.30%
"Oct 21, 2014",939.12,925.96,942.1,924.53,-,1.42%
"Oct 20, 2014",925.96,926.84,931.61,923.19,-,-0.09%
"Oct 17, 2014",926.84,904.83,926.84,904.28,-,2.84%
"Oct 16, 2014",901.28,923.59,925.06,893.5,-,-2.42%
"Oct 15, 2014",923.59,939.49,942.55,915.16,-,-1.69%
"Oct 14, 2014",939.49,949.76,950.16,937.76,-,-1.08%
"Oct 13, 2014",949.75,951.58,959.1,944.31,-,-0.19%
"Oct 10, 2014",951.6,961.89,961.94,948.33,-,-1.07%
"Oct 09, 2014",961.89,960.14,969.55,959.65,-,0.19%
"Oct 08, 2014",960.07,964.33,968.08,960.07,-,-0.44%
"Oct 07, 2014",964.29,978.24,980.14,963.92,-,-1.38%
"Oct 06, 2014",977.82,977.8,982.28,974.81,-,0.16%
